<?xml version="1.0"?>
<VMAF version="1.3.14">
	<params model="vmaf_v0.6.1.pkl" scaledWidth="640" scaledHeight="360" subsample="1" num_bootstrap_models="0" bootstrap_model_list_str="" />
	<fyi numOfFrames="300" aggregateVMAF="99.968" aggregatePSNR="45.9565" aggregateSSIM="0.984664" aggregateMS_SSIM="0.993809" execFps="7.71102" timeTaken="38.9054" />
	<frames>
		<frame frameNum="0" adm2="0.972159" motion2="0" ms_ssim="0.99535" psnr="47.2054" ssim="0.987686" vif_scale0="0.826466" vif_scale1="0.981612" vif_scale2="0.99052" vif_scale3="0.994474" vmaf="90.4077" />
		<frame frameNum="1" adm2="0.98054" motion2="37.3101" ms_ssim="0.992209" psnr="44.8112" ssim="0.981978" vif_scale0="0.75026" vif_scale1="0.941121" vif_scale2="0.966445" vif_scale3="0.978829" vmaf="100" />
		<frame frameNum="2" adm2="0.971037" motion2="37.309" ms_ssim="0.995231" psnr="47.1347" ssim="0.987608" vif_scale0="0.825281" vif_scale1="0.980559" vif_scale2="0.989712" vif_scale3="0.993881" vmaf="100" />
		<frame frameNum="3" adm2="0.979236" motion2="37.2859" ms_ssim="0.992074" psnr="44.7693" ssim="0.981745" vif_scale0="0.748824" vif_scale1="0.940886" vif_scale2="0.966891" vif_scale3="0.979295" vmaf="100" />
		<frame frameNum="4" adm2="0.970918" motion2="37.2859" ms_ssim="0.995219" psnr="47.1251" ssim="0.987533" vif_scale0="0.824186" vif_scale1="0.980106" vif_scale2="0.989534" vif_scale3="0.993921" vmaf="100" />
		<frame frameNum="5" adm2="0.980356" motion2="37.2974" ms_ssim="0.992125" psnr="44.7825" ssim="0.981779" vif_scale0="0.749355" vif_scale1="0.941389" vif_scale2="0.96726" vif_scale3="0.979662" vmaf="100" />
		<frame frameNum="6" adm2="0.969712" motion2="37.2952" ms_ssim="0.995207" psnr="47.1221" ssim="0.987546" vif_scale0="0.822973" vif_scale1="0.978807" vif_scale2="0.988776" vif_scale3="0.993638" vmaf="100" />
		<frame frameNum="7" adm2="0.979935" motion2="37.2865" ms_ssim="0.992188" psnr="44.8104" ssim="0.981805" vif_scale0="0.750067" vif_scale1="0.942217" vif_scale2="0.967967" vif_scale3="0.980672" vmaf="100" />
		<frame frameNum="8" adm2="0.971182" motion2="37.2865" ms_ssim="0.995203" psnr="47.1293" ssim="0.987443" vif_scale0="0.82177" vif_scale1="0.979204" vif_scale2="0.988694" vif_scale3="0.993594" vmaf="100" />
